term,id,name,docket_number,date_decided,date_argued,date_granted,majority_votes,decision_type,minority_votes,winning_party,vote_Neil_Gorsuch,vote_Ketanji_Brown_Jackson,"vote_John_G._Roberts,_Jr.",vote_Brett_M._Kavanaugh,vote_Elena_Kagan,vote_Sonia_Sotomayor,vote_Clarence_Thomas,vote_Amy_Coney_Barrett,"vote_Samuel_A._Alito,_Jr.",opinion_Amy_Coney_Barrett,opinion_Neil_Gorsuch,"opinion_John_G._Roberts,_Jr.",opinion_Sonia_Sotomayor,"opinion_Samuel_A._Alito,_Jr.",opinion_Clarence_Thomas,opinion_Elena_Kagan,opinion_Ketanji_Brown_Jackson,opinion_Brett_M._Kavanaugh,justia_url,description,question
2022,63504,"Perez v. Sturgis Public Schools, et al.",21-887,2023-03-21T13:00:00,2023-01-18T14:00:00,2022-10-03T13:00:00,8,majority opinion,0,Perez,majority,,majority,majority,majority,majority,majority,majority,majority,none,majority,none,none,none,none,none,,none,https://supreme.justia.com/cases/federal/us/598/21-887/,A case in which the Court held that an Americans with Disabilities Act lawsuit seeking compensatory damages for the denial of a free and appropriate education may proceed without exhausting the administrative processes of the Individuals with Disabilities Education Act because the remedy sought is not one IDEA provides.,"<p>Do the Individuals with Disabilities Education Act (IDEA) and the Americans with Disabilities Act (ADA) require a student to exhaust his administrative proceedings against the school district even when such proceedings would be futile?</p>
"
2022,63505,Gonzalez v. Google LLC,21-1333,2023-05-18T13:00:00,2023-02-21T14:00:00,2022-10-03T13:00:00,0,per curiam,0,Gonzalez,,,,,,,,,,,,,,,,,,,https://supreme.justia.com/cases/federal/us/598/21-1333/,A case in which the Court was asked to decide whether Section 230 of the Communications Decency Act shields internet platforms from liability when their algorithms target users and recommend a third party’s content.,"<p>Does Section 230(c)(1) of the Communications Decency Act immunize interactive computer services when they make targeted recommendations of information provided by another information content provider?</p>
"
2022,63507,Santos-Zacaria v. Garland,21-1436,2023-05-11T13:00:00,2023-01-17T14:00:00,2022-10-03T13:00:00,9,majority opinion,0,Santos-Zacaria,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,special concurrence,none,none,majority,none,https://supreme.justia.com/cases/federal/us/598/21-1436/,"A case in which the Court held that a federal immigration law does not bar a federal court of appeals from reviewing an immigrant’s claim that the Board of Immigration Appeals had engaged in impermissible factfinding simply because the immigrant had not exhausted that claim through a motion to reconsider, which is a discretionary form of review.","<p>Does 8 U.S.C. § 1252(d)(1) bar a court of appeals from reviewing an immigrant’s claim that the Board of Immigration Appeals had engaged in impermissible factfinding because the immigrant had not exhausted that claim through a motion to reconsider?</p>
"
2022,63508,"Glacier Northwest, Inc. v. International Brotherhood of Teamsters",21-1449,2023-06-01T13:00:00,2023-01-10T14:00:00,2022-10-03T13:00:00,8,majority opinion,1,Glacier Northwest,majority,minority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,special concurrence,special concurrence,none,dissent,none,https://supreme.justia.com/cases/federal/us/598/21-1449/,A case in which the Court held that the National Labor Relations Act does not preempt a state-court lawsuit against a union for intentionally destroying an employer’s property during a labor dispute.,"<p>Does the National Labor Relations Act preempt a state-court lawsuit against a union for intentionally destroying an employer’s property during a labor dispute?</p>
"
2022,63509,Turkiye Halk Bankasi A.S. v. United States,21-1450,2023-04-19T13:00:00,2023-01-17T14:00:00,2022-10-03T13:00:00,7,majority opinion,2,Turkiye Halk Bankasi,minority,majority,majority,majority,majority,majority,majority,majority,minority,none,dissent,none,none,none,none,none,none,majority,https://supreme.justia.com/cases/federal/us/598/21-1450/,"A case in which the Court held that U.S. district courts may exercise subject-matter jurisdiction over criminal prosecutions against foreign sovereigns and their instrumentalities under 18 U.S.C. § 3231, and that such entities are not immune from criminal prosecution under the Foreign Sovereign Immunities Act.","<p>May the district courts properly exercise subject-matter jurisdiction over the criminal prosecution against Halkbank in this case based on the commercial activity exception to the Foreign Sovereign Immunities Act?</p>
"
2022,63510,"Twitter, Inc. v. Taamneh",21-1496,2023-05-18T13:00:00,2023-02-22T14:00:00,2022-10-03T13:00:00,9,majority opinion,0,Twitter,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,none,majority,none,concurrence,none,https://supreme.justia.com/cases/federal/us/598/21-1496/,"A case in which the Court held an internet platform does not “knowingly” provide substantial assistance under 18 U.S.C. § 2333 merely because it allegedly could have taken more “meaningful” or “aggressive” action to prevent such use, and that an internet platform whose services were not used in connection with the specific “act of international terrorism” that injured the plaintiff cannot be liable for aiding and abetting under Section 2333.","<p>1. Does an internet platform “knowingly” provide substantial assistance under 18 U.S.C. § 2333 merely because it allegedly could have taken more “meaningful” or “aggressive” action to prevent such use?</p>
<p>2. May an internet platform whose services were not used in connection with the specific “act of international terrorism” that injured the plaintiff still be liable for aiding and abetting under Section 2333?</p>
"
2022,63511,"Financial Oversight and Management Board for Puerto Rico v. Centro de Periodismo Investigativo, Inc.",22-96,2023-05-11T13:00:00,2023-01-11T14:00:00,2022-10-03T13:00:00,8,majority opinion,1,Financial Oversight and Management Board,majority,majority,majority,majority,majority,majority,minority,majority,majority,none,none,none,none,none,dissent,majority,none,none,https://supreme.justia.com/cases/federal/us/598/22-96/,"A case in which the Court held the Puerto Rico Oversight, Management, and Economic Stability Act (PROMESA)’s general grant of jurisdiction to the federal courts over claims against the Financial Oversight and Management Board for Puerto Rico and claims otherwise arising under PROMESA does not abrogate the Board’s sovereign immunity with respect to all federal and territorial claims.","<p>Does the Puerto Rico Oversight, Management, and Economic Stability Act (PROMESA)’s general grant of jurisdiction to the federal courts over claims against the Financial Oversight and Management Board for Puerto Rico and claims otherwise arising under PROMESA abrogate the Board’s sovereign immunity with respect to all federal and territorial claims?</p>
"
2022,63512,The Ohio Adjutant General’s Department v. Federal Labor Relations Authority,21-1454,2023-05-18T13:00:00,2023-01-09T14:00:00,2022-10-03T13:00:00,7,majority opinion,2,FLRA,minority,majority,majority,majority,majority,majority,majority,majority,minority,none,none,none,none,dissent,majority,none,none,none,https://supreme.justia.com/cases/federal/us/598/21-1454/,"A case in which the Court held that the Civil Service Reform Act of 1978, which empowers the Federal Labor Relations Authority to regulate the labor practices of federal agencies, also empowers it to regulate the labor practices of state militias.","<p>Does the Civil Service Reform Act of 1978 empower the Federal Labor Relations Authority to regulate the labor practices of state militias?</p>
"
2022,63523,Amgen Inc. v. Sanofi,21-757,2023-05-18T13:00:00,2023-03-27T13:00:00,2022-11-04T13:00:00,9,majority opinion,0,Sanofi,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,majority,none,none,none,none,none,none,none,https://supreme.justia.com/cases/federal/us/598/21-757/,A case in which the Court held that two of Amgen’s patents do not satisfy the Patent Act’s enablement clause because they do not describe the invention with sufficient particularity that would enable a “skilled artisan” to “make and use” the claimed invention.,"<p>Do Amgen’s two patents satisfy the Patent Act’s enablement clause—that is, describing the invention with sufficient particularity that would enable a “skilled artisan” to “make and use” the claimed invention?</p>
"
2022,63524,"Abitron Austria GmbH v. Hetronic International, Inc.",21-1043,2023-06-29T13:00:00,2023-03-21T13:00:00,2022-11-04T13:00:00,9,majority opinion,0,Abitron Austria,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,special concurrence,majority,none,none,concurrence,none,https://supreme.justia.com/cases/federal/us/600/21-1043/,A case in which the Court held that the Lanham Act does not permit the owner of a U.S.-registered trademark to recover damages for the use of that trademark when the infringement occurred outside the United States and is not likely to cause confusion in the United States.,"<p>Does the Lanham Act permit the owner of a U.S.-registered trademark to recover damages for the use of that trademark when the infringement occurred outside the United States and is not likely to cause confusion in the United States?</p>
"
