county_name,median_income,population,bachelors_degree,labor_force,median_rent,commute_time,owner_occupied,renter_occupied,state_fips,county_fips
"Ness County, Kansas",64907.0,2677.0,332.0,152.0,606.0,1296.0,927.0,217.0,20,135
"Norton County, Kansas",52710.0,5431.0,592.0,268.0,722.0,1894.0,1432.0,449.0,20,137
"Osage County, Kansas",66155.0,15787.0,1463.0,774.0,781.0,6800.0,4932.0,1348.0,20,139
"Osborne County, Kansas",58750.0,3493.0,439.0,191.0,618.0,1720.0,1216.0,388.0,20,141
"Ottawa County, Kansas",74551.0,5768.0,693.0,270.0,717.0,2698.0,1845.0,529.0,20,143
"Pawnee County, Kansas",54141.0,6288.0,626.0,263.0,769.0,2459.0,1478.0,918.0,20,145
"Phillips County, Kansas",57611.0,4960.0,491.0,260.0,601.0,2137.0,1591.0,600.0,20,147
"Pottawatomie County, Kansas",85241.0,25482.0,3957.0,1411.0,1009.0,11572.0,7217.0,1837.0,20,149
"Pratt County, Kansas",61685.0,9175.0,1039.0,744.0,763.0,3934.0,2506.0,1074.0,20,151
"Rawlins County, Kansas",61827.0,2544.0,249.0,84.0,695.0,1121.0,803.0,362.0,20,153
"Reno County, Kansas",57390.0,61881.0,5730.0,3248.0,828.0,27045.0,17690.0,7467.0,20,155
"Republic County, Kansas",54531.0,4686.0,552.0,252.0,656.0,2082.0,1469.0,560.0,20,157
"Rice County, Kansas",58523.0,9441.0,970.0,771.0,711.0,4143.0,2847.0,916.0,20,159
"Riley County, Kansas",56327.0,72105.0,9309.0,7169.0,1016.0,36519.0,11789.0,14976.0,20,161
"Rooks County, Kansas",60821.0,4925.0,592.0,220.0,676.0,2263.0,1604.0,523.0,20,163
"Rush County, Kansas",53523.0,2939.0,316.0,121.0,724.0,1317.0,1035.0,309.0,20,165
"Russell County, Kansas",49929.0,6702.0,738.0,466.0,757.0,2890.0,2281.0,714.0,20,167
"Saline County, Kansas",59887.0,54160.0,6655.0,2948.0,869.0,25336.0,15055.0,7303.0,20,169
"Scott County, Kansas",53365.0,5128.0,431.0,414.0,642.0,2451.0,1317.0,826.0,20,171
"Sedgwick County, Kansas",65372.0,522700.0,68727.0,28803.0,937.0,234296.0,126637.0,75848.0,20,173
"Seward County, Kansas",57131.0,21942.0,1056.0,1316.0,827.0,10098.0,4615.0,2456.0,20,175
"Shawnee County, Kansas",63463.0,178625.0,24726.0,9670.0,942.0,76204.0,49740.0,24654.0,20,177
"Sheridan County, Kansas",66719.0,2450.0,296.0,116.0,622.0,1171.0,743.0,266.0,20,179
"Sherman County, Kansas",61404.0,5940.0,751.0,635.0,827.0,2469.0,1509.0,808.0,20,181
"Smith County, Kansas",50943.0,3561.0,452.0,180.0,564.0,1616.0,1309.0,251.0,20,183
"Stafford County, Kansas",60000.0,4054.0,530.0,229.0,598.0,1764.0,1292.0,318.0,20,185
"Stanton County, Kansas",66000.0,2060.0,182.0,104.0,825.0,903.0,708.0,180.0,20,187
"Stevens County, Kansas",67950.0,5275.0,335.0,384.0,899.0,2222.0,1198.0,517.0,20,189
"Sumner County, Kansas",59397.0,22517.0,2401.0,1132.0,838.0,9173.0,6676.0,2301.0,20,191
"Thomas County, Kansas",72417.0,7907.0,822.0,789.0,742.0,3838.0,2264.0,865.0,20,193
"Trego County, Kansas",77500.0,2798.0,400.0,87.0,646.0,1299.0,1073.0,235.0,20,195
"Wabaunsee County, Kansas",70000.0,6922.0,817.0,387.0,790.0,2908.0,2105.0,465.0,20,197
"Wallace County, Kansas",57708.0,1489.0,215.0,56.0,564.0,640.0,467.0,196.0,20,199
"Washington County, Kansas",59432.0,5529.0,587.0,260.0,540.0,2440.0,1801.0,543.0,20,201
"Wichita County, Kansas",69551.0,2131.0,257.0,22.0,683.0,845.0,742.0,138.0,20,203
"Wilson County, Kansas",55439.0,8667.0,875.0,500.0,725.0,3704.0,2534.0,958.0,20,205
"Woodson County, Kansas",50670.0,3134.0,357.0,142.0,584.0,1210.0,993.0,220.0,20,207
"Wyandotte County, Kansas",57771.0,167989.0,13738.0,9123.0,1043.0,71151.0,37097.0,24185.0,20,209
"Adair County, Kentucky",49690.0,18887.0,1139.0,1254.0,725.0,6733.0,5202.0,1601.0,21,001
"Allen County, Kentucky",57159.0,20773.0,1577.0,821.0,831.0,7972.0,6014.0,1802.0,21,003
"Anderson County, Kentucky",69885.0,23839.0,2717.0,1131.0,839.0,9927.0,7236.0,1944.0,21,005
"Ballard County, Kentucky",57111.0,7742.0,653.0,404.0,758.0,3155.0,2379.0,580.0,21,007
"Barren County, Kentucky",48141.0,44511.0,3283.0,2261.0,745.0,17164.0,11654.0,5938.0,21,009
"Bath County, Kentucky",51471.0,12739.0,682.0,537.0,566.0,4405.0,3501.0,1343.0,21,011
"Bell County, Kentucky",33658.0,24248.0,1219.0,1210.0,608.0,6557.0,5966.0,3490.0,21,013
"Boone County, Kentucky",91697.0,136150.0,19562.0,7061.0,1177.0,61940.0,37766.0,11821.0,21,015
"Bourbon County, Kentucky",54580.0,20228.0,1784.0,820.0,761.0,8123.0,5219.0,2848.0,21,017
"Boyd County, Kentucky",58327.0,48242.0,3883.0,2290.0,796.0,17911.0,12777.0,5756.0,21,019
